annotation_id,annotation_name,size,linkout,date_download,annotation_description,go_download_link
R-MMU-1280218,Adaptive Immune System,804,https://reactome.org/PathwayBrowser/#/R-MMU-1280218,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-168256,Immune System,1758,https://reactome.org/PathwayBrowser/#/R-MMU-168256,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,228,https://reactome.org/PathwayBrowser/#/R-MMU-198933,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-202403,TCR signaling,113,https://reactome.org/PathwayBrowser/#/R-MMU-202403,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-202424,Downstream TCR signaling,95,https://reactome.org/PathwayBrowser/#/R-MMU-202424,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-202427,Phosphorylation of CD3 and TCR zeta chains,22,https://reactome.org/PathwayBrowser/#/R-MMU-202427,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-202430,Translocation of ZAP-70 to Immunological synapse,19,https://reactome.org/PathwayBrowser/#/R-MMU-202430,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-202433,Generation of second messenger molecules,30,https://reactome.org/PathwayBrowser/#/R-MMU-202433,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-388841,Costimulation by the CD28 family,69,https://reactome.org/PathwayBrowser/#/R-MMU-388841,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-389948,PD-1 signaling,23,https://reactome.org/PathwayBrowser/#/R-MMU-389948,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-109582,Hemostasis,624,https://reactome.org/PathwayBrowser/#/R-MMU-109582,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-166658,Complement cascade,166,https://reactome.org/PathwayBrowser/#/R-MMU-166658,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-166663,Initial triggering of complement,138,https://reactome.org/PathwayBrowser/#/R-MMU-166663,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-166786,Creation of C4 and C2 activators,131,https://reactome.org/PathwayBrowser/#/R-MMU-166786,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-168249,Innate Immune System,1091,https://reactome.org/PathwayBrowser/#/R-MMU-168249,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-173623,Classical antibody-mediated complement activation,124,https://reactome.org/PathwayBrowser/#/R-MMU-173623,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-202733,Cell surface interactions at the vascular wall,211,https://reactome.org/PathwayBrowser/#/R-MMU-202733,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,196,https://reactome.org/PathwayBrowser/#/R-MMU-2029480,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2029481,FCGR activation,131,https://reactome.org/PathwayBrowser/#/R-MMU-2029481,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2029482,Regulation of actin dynamics for phagocytic cup formation,175,https://reactome.org/PathwayBrowser/#/R-MMU-2029482,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2029485,Role of phospholipids in phagocytosis,140,https://reactome.org/PathwayBrowser/#/R-MMU-2029485,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2168880,Scavenging of heme from plasma,136,https://reactome.org/PathwayBrowser/#/R-MMU-2168880,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,148,https://reactome.org/PathwayBrowser/#/R-MMU-2173782,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2454202,Fc epsilon receptor (FCERI) signaling,236,https://reactome.org/PathwayBrowser/#/R-MMU-2454202,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,130,https://reactome.org/PathwayBrowser/#/R-MMU-2730905,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2871796,FCERI mediated MAPK activation,147,https://reactome.org/PathwayBrowser/#/R-MMU-2871796,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2871809,FCERI mediated Ca+2 mobilization,142,https://reactome.org/PathwayBrowser/#/R-MMU-2871809,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-2871837,FCERI mediated NF-kB activation,191,https://reactome.org/PathwayBrowser/#/R-MMU-2871837,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-5653656,Vesicle-mediated transport,708,https://reactome.org/PathwayBrowser/#/R-MMU-5653656,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-5690714,CD22 mediated BCR regulation,120,https://reactome.org/PathwayBrowser/#/R-MMU-5690714,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-977606,Regulation of Complement cascade,156,https://reactome.org/PathwayBrowser/#/R-MMU-977606,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,138,https://reactome.org/PathwayBrowser/#/R-MMU-983695,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-MMU-983705,Signaling by the B Cell Receptor (BCR),216,https://reactome.org/PathwayBrowser/#/R-MMU-983705,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
