annotation_id,annotation_name,annotation_description,size,linkout,date_download,go_download_link
GO:0005829,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes. [GOC:hjd, GOC:jl]",31785,http://amigo.geneontology.org/amigo/term/GO:0005829,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005886,plasma membrane,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363],18168,http://amigo.geneontology.org/amigo/term/GO:0005886,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0019814,immunoglobulin complex,"A protein complex that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains, held together by disulfide bonds and sometimes complexed with additional proteins. An immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph. [GOC:add, GOC:jl, ISBN:0781765196]",147,http://amigo.geneontology.org/amigo/term/GO:0019814,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0042101,T cell receptor complex,"A protein complex that contains a disulfide-linked heterodimer of T cell receptor (TCR) chains, which are members of the immunoglobulin superfamily, and mediates antigen recognition, ultimately resulting in T cell activation. The TCR heterodimer is associated with the CD3 complex, which consists of the nonpolymorphic polypeptides gamma, delta, epsilon, zeta, and, in some cases, eta (an RNA splice variant of zeta) or Fc epsilon chains. [GOC:mah, ISBN:0781735149]",138,http://amigo.geneontology.org/amigo/term/GO:0042101,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0042105,alpha-beta T cell receptor complex,"A T cell receptor complex in which the TCR heterodimer comprises alpha and beta chains, associated with the CD3 complex; recognizes a complex consisting of an antigen-derived peptide bound to a class I or class II MHC protein. [GOC:mah, ISBN:0781735149]",25,http://amigo.geneontology.org/amigo/term/GO:0042105,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005576,extracellular region,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators],12322,http://amigo.geneontology.org/amigo/term/GO:0005576,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0016020,membrane,"A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]",3602,http://amigo.geneontology.org/amigo/term/GO:0016020,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005737,cytoplasm,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]",6860,http://amigo.geneontology.org/amigo/term/GO:0005737,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]",8855,http://amigo.geneontology.org/amigo/term/GO:0005634,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0000776,kinetochore,A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules. [GOC:elh],253,http://amigo.geneontology.org/amigo/term/GO:0000776,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0000779,"condensed chromosome, centromeric region","The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome. [GOC:elh, GOC:kmv]",17,http://amigo.geneontology.org/amigo/term/GO:0000779,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005856,cytoskeleton,"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles. [GOC:mah, PMID:16959967, PMID:27419875]",418,http://amigo.geneontology.org/amigo/term/GO:0005856,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005739,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]",2271,http://amigo.geneontology.org/amigo/term/GO:0005739,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
GO:0005813,centrosome,"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle. [GOC:mah, ISBN:0198547684]",871,http://amigo.geneontology.org/amigo/term/GO:0005813,2023-05-10,http://geneontology.org/gene-associations/goa_human.gaf.gz
