annotation_id,annotation_name,annotation_description,size,linkout,date_download,go_download_link
GO:0038023,signaling receptor activity,"Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response. [GOC:bf, GOC:signaling]",177,http://amigo.geneontology.org/amigo/term/GO:0038023,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0036094,small molecule binding,"Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule. [GOC:curators, GOC:pde, GOC:pm]",70,http://amigo.geneontology.org/amigo/term/GO:0036094,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0003674,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. [GOC:pdt]",4040,http://amigo.geneontology.org/amigo/term/GO:0003674,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0042605,peptide antigen binding,"Binding to an antigen peptide. [GOC:add, GOC:jl, GOC:rv]",186,http://amigo.geneontology.org/amigo/term/GO:0042605,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0098632,cell-cell adhesion mediator activity,"The binding by a cell-adhesion protein on the cell surface to an extracellular matrix component, to mediate adhesion of the cell to another cell. [Wikipedia:Cell_adhesion]",30,http://amigo.geneontology.org/amigo/term/GO:0098632,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0035064,methylated histone binding,"Binding to a histone in which a residue has been modified by methylation. [GOC:bf, PMID:14585615]",186,http://amigo.geneontology.org/amigo/term/GO:0035064,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0003729,mRNA binding,"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns. [GOC:kmv, GOC:pr, SO:0000234]",347,http://amigo.geneontology.org/amigo/term/GO:0003729,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0062153,C5-methylcytidine-containing RNA binding,Binding to an RNA molecule modified by C5-methylcytidine. [PMID:28418038],8,http://amigo.geneontology.org/amigo/term/GO:0062153,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0046872,metal ion binding,Binding to a metal ion. [GOC:ai],2236,http://amigo.geneontology.org/amigo/term/GO:0046872,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,"Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II. [GOC:txnOH-2018]",1747,http://amigo.geneontology.org/amigo/term/GO:0000978,2023-05-10,http://ftp.ebi.ac.uk/pub/databases/GO/goa/MOUSE/goa_mouse.gaf.gz
